input	output	language
EU ta yi watsi da kiran Jamus na kaurace wa ragon Birtaniya .	EU_B-ORG ta_O yi_O watsi_O da_O kiran_O Jamus_O na_O kaurace_O wa_O ragon_O Birtaniya_O ._O	hau
Bitrus Blackburn	Bitrus_B-PER Blackburn_I-PER	hau
BRUSSELS 1996-08-22 ƙididdigar yawan jama 'a	BRUSSELS_B-LOC 1996-08-22_O ƙididdigar_O yawan_O jama_O 'a_O	hau
Hukumar Tarayyar Turai ta ce a ranar Alhamis ba ta yarda da shawarar da Jamus ta bai wa masu amfani da ita ba su guji ragon Burtaniya har sai masana kimiyya sun tantance ko za a iya yada cutar mad cow ga tumaki .	Hukumar_B-ORG Tarayyar_I-ORG Turai_I-ORG ta_O ce_O a_O ranar_O Alhamis_O ba_O ta_O yarda_O da_O shawarar_O da_O Jamus_O ta_O bai_O wa_O masu_O amfani_O da_O ita_O ba_O su_O guji_O ragon_O Burtaniya_O har_O sai_O masana_O kimiyya_O sun_O tantance_O ko_O za_O a_O iya_O yada_O cutar_O mad_O cow_O ga_O tumaki_O ._O	hau
Wakilin Jamus a kwamitin likitocin dabbobi na Tarayyar Turai Werner Zwingmann ya ce a ranar Laraba masu sayen ya kamata su sayi naman tumaki daga wasu ƙasashe ban da Burtaniya har sai shawarar kimiyya ta bayyana .	Wakilin_O Jamus_B-LOC a_O kwamitin_O likitocin_O dabbobi_O na_O Tarayyar_B-ORG Turai_I-ORG Werner_B-PER Zwingmann_I-PER ya_O ce_O a_O ranar_O Laraba_O masu_O sayen_O ya_O kamata_O su_O sayi_O naman_O tumaki_O daga_O wasu_O ƙasashe_O ban_O da_O Burtaniya_B-LOC har_O sai_O shawarar_O kimiyya_O ta_O bayyana_O ._O	hau
" Ba mu goyi bayan irin wannan shawarar ba saboda ba mu ga wani dalili ba , " in ji babban mai magana da yawun hukumar Nikolaus van der Pas a wani taron manema labarai .	"_O Ba_O mu_O goyi_O bayan_O irin_O wannan_O shawarar_O ba_O saboda_O ba_O mu_O ga_O wani_O dalili_O ba_O ,_O "_O in_O ji_O babban_O mai_O magana_O da_O yawun_O hukumar_B-ORG Nikolaus_B-PER van_I-PER der_I-PER Pas_I-PER a_O wani_O taron_O manema_O labarai_O ._O	hau
Ya ce ana bukatar ci gaba da binciken kimiyya kuma idan aka gano cewa akwai bukatar daukar mataki ya kamata Tarayyar Turai ta dauka .	Ya_O ce_O ana_O bukatar_O ci_O gaba_O da_O binciken_O kimiyya_O kuma_O idan_O aka_O gano_O cewa_O akwai_O bukatar_O daukar_O mataki_O ya_O kamata_O Tarayyar_B-ORG Turai_I-ORG ta_O dauka_O ._O	hau
Fischler ya ba da shawarar matakan EU gaba daya bayan rahotanni daga Burtaniya da Faransa cewa a karkashin yanayin dakin gwaje-gwaje tumaki na iya kamuwa da cutar Bovine Spongiform Encephalopathy ( BSE ) - cutar mad cow .	Fischler_B-PER ya_O ba_O da_O shawarar_O matakan_O EU_O gaba_O daya_O bayan_O rahotanni_O daga_O Burtaniya_B-LOC da_O Faransa_B-LOC cewa_O a_O karkashin_O yanayin_O dakin_O gwaje-gwaje_O tumaki_O na_O iya_O kamuwa_O da_O cutar_O Bovine_O Spongiform_O Encephalopathy_O (_O BSE_O )_O -_O cutar_O mad_O cow_O ._O	hau
Amma Fischler ya amince ya sake duba shawararsa bayan kwamitin kula da lafiyar dabbobi na EU , jami 'an kiwon lafiyar dabbobi na kasa , sun yi tambaya ko irin wannan mataki ya dace saboda akwai ƙananan haɗari ga lafiyar mutum .	Amma_O Fischler_B-PER ya_O amince_O ya_O sake_O duba_O shawararsa_O bayan_O kwamitin_O kula_O da_O lafiyar_O dabbobi_O na_O EU_B-ORG ,_O jami_O 'an_O kiwon_O lafiyar_O dabbobi_O na_O kasa_O ,_O sun_O yi_O tambaya_O ko_O irin_O wannan_O mataki_O ya_O dace_O saboda_O akwai_O ƙananan_O haɗari_O ga_O lafiyar_O mutum_O ._O	hau
Ministan aikin gona na Spain Loyola de Palacio a baya ya zargi Fischler a taron ministocin aikin gona na EU na haifar da damuwa mara tushe ta hanyar " haɗari mai haɗari . "	Ministan_O aikin_O gona_O na_O Spain_O Loyola_B-PER de_I-PER Palacio_I-PER a_O baya_O ya_O zargi_O Fischler_B-PER a_O taron_O ministocin_O aikin_O gona_O na_O EU_B-ORG na_O haifar_O da_O damuwa_O mara_O tushe_O ta_O hanyar_O "_O haɗari_O mai_O haɗari_O ._O "_O	hau
