input	output	language
EU ajụla ọkpụkpọ oku Germany ịkpọ ụmụ atụrụ Britain asị .	EU_B-ORG ajụla_O ọkpụkpọ_O oku_O Germany_O ịkpọ_O ụmụ_O atụrụ_O Britain_O asị_O ._O	ibo
Peter Blackburn	Peter_B-PER Blackburn_I-PER	ibo
BRUSSELS 1996-08-22 ihe ndị dị mkpa	BRUSSELS_B-LOC 1996-08-22_O ihe_O ndị_O dị_O mkpa_O	ibo
European Commission kwuru na Tọzdee na ya ekwenyeghị na ndụmọdụ Germany nyere ndị na-azụ ahịa ka ha zere nwa atụrụ Britain ruo mgbe ndị ọkà mmụta sayensị ga-ekpebi ma ọrịa ehi ara nwere ike ibufe atụrụ .	European_B-ORG Commission_I-ORG kwuru_O na_O Tọzdee_O na_O ya_O ekwenyeghị_O na_O ndụmọdụ_O Germany_O nyere_O ndị_O na-azụ_O ahịa_O ka_O ha_O zere_O nwa_O atụrụ_O Britain_O ruo_O mgbe_O ndị_O ọkà_O mmụta_O sayensị_O ga-ekpebi_O ma_O ọrịa_O ehi_O ara_O nwere_O ike_O ibufe_O atụrụ_O ._O	ibo
Onye nnọchi anya Germany na kọmitii na-ahụ maka ọgwụgwọ ọrịa anụmanụ nke European Union bụ Werner Zwingmann kwuru na Wenezde na ndị ahịa kwesịrị ịzụta anụ atụrụ site na mba ndị ọzọ na-abụghị Britain ruo mgbe ndụmọdụ sayensị doro anya .	Onye_O nnọchi_O anya_O Germany_B-LOC na_O kọmitii_O na-ahụ_O maka_O ọgwụgwọ_O ọrịa_O anụmanụ_O nke_O European_B-ORG Union_I-ORG bụ_O Werner_B-PER Zwingmann_I-PER kwuru_O na_O Wenezde_O na_O ndị_O ahịa_O kwesịrị_O ịzụta_O anụ_O atụrụ_O site_O na_O mba_O ndị_O ọzọ_O na-abụghị_O Britain_B-LOC ruo_O mgbe_O ndụmọdụ_O sayensị_O doro_O anya_O ._O	ibo
" Anyị anaghị akwado ndụmọdụ dị otú ahụ n 'ihi na anyị ahụghị ihe ndabere ọ bụla maka ya , " ka onyeisi ọnụ na - ekwuchitere Kọmitii ahụ bụ ́ Nikolaus van der Pas gwara ndị nta akụkọ .	"_O Anyị_O anaghị_O akwado_O ndụmọdụ_O dị_O otú_O ahụ_O n_O 'ihi_O na_O anyị_O ahụghị_O ihe_O ndabere_O ọ_O bụla_O maka_O ya_O ,_O "_O ka_O onyeisi_O ọnụ_O na_O -_O ekwuchitere_O Kọmitii_B-ORG ahụ_O bụ_O ́_O Nikolaus_B-PER van_I-PER der_I-PER Pas_I-PER gwara_O ndị_O nta_O akụkọ_O ._O	ibo
O kwuru na ọ dị mkpa ka e mee nnyocha sayensị ọzọ ma ọ bụrụ na a chọpụta na ọ dị mkpa ka e mee ihe ọ dị mkpa ka European Union mee ya .	O_O kwuru_O na_O ọ_O dị_O mkpa_O ka_O e_O mee_O nnyocha_O sayensị_O ọzọ_O ma_O ọ_O bụrụ_O na_O a_O chọpụta_O na_O ọ_O dị_O mkpa_O ka_O e_O mee_O ihe_O ọ_O dị_O mkpa_O ka_O European_B-ORG Union_I-ORG mee_O ya_O ._O	ibo
Fischler tụrụ aro ka e mee ihe maka EU dum mgbe akụkọ si Britain na France na-ekwu na n 'okpuru ọnọdụ ụlọ nyocha , atụrụ nwere ike ibute ọrịa Bovine Spongiform Encephalopathy ( BSE ) - ọrịa ehi ara .	Fischler_B-PER tụrụ_O aro_O ka_O e_O mee_O ihe_O maka_O EU_O dum_O mgbe_O akụkọ_O si_O Britain_B-LOC na_O France_B-LOC na-ekwu_O na_O n_O 'okpuru_O ọnọdụ_O ụlọ_O nyocha_O ,_O atụrụ_O nwere_O ike_O ibute_O ọrịa_O Bovine_O Spongiform_O Encephalopathy_O (_O BSE_O )_O -_O ọrịa_O ehi_O ara_O ._O	ibo
Ma Fischler kwetara inyocha atụmatụ ya mgbe kọmitii na-ahụ maka ahụike anụmanụ nke EU , ndị ọrụ ahụike anụmanụ mba , jụrụ ma ihe dị otú ahụ ọ bụ ihe ziri ezi ebe ọ bụ na enwere obere ihe ize ndụ maka ahụike mmadụ .	Ma_O Fischler_B-PER kwetara_O inyocha_O atụmatụ_O ya_O mgbe_O kọmitii_O na-ahụ_O maka_O ahụike_O anụmanụ_O nke_O EU_B-ORG ,_O ndị_O ọrụ_O ahụike_O anụmanụ_O mba_O ,_O jụrụ_O ma_O ihe_O dị_O otú_O ahụ_O ọ_O bụ_O ihe_O ziri_O ezi_O ebe_O ọ_O bụ_O na_O enwere_O obere_O ihe_O ize_O ndụ_O maka_O ahụike_O mmadụ_O ._O	ibo
Ọ dị mma .	Ọ_O dị_O mma_O ._O	ibo
