input	output	language
EU egaanye okuyitibwa kwa Bugirimaani okuziyiza endiga y 'endiga eya Bungereza .	EU_B-ORG egaanye_O okuyitibwa_O kwa_O Bugirimaani_O okuziyiza_O endiga_O y_O 'endiga_O eya_O Bungereza_O ._O	lug
Peter Blackburn	Peter_B-PER Blackburn_I-PER	lug
BRUSSELS 1996-08-22 bye bye bye bye bye	BRUSSELS_B-LOC 1996-08-22_O bye_O bye_O bye_O bye_O bye_O	lug
Omwogezi w' akakiiko Nikolaus van der Pas yategeezezza bannamawulire nti : " Tetuwagira kubuulirira ng 'okwo kubanga tetulaba nsonga yonna eyandituleetedde okukikola . "	Omwogezi_O w'_O akakiiko_B-ORG Nikolaus_B-PER van_I-PER der_I-PER Pas_I-PER yategeezezza_O bannamawulire_O nti_O :_O "_O Tetuwagira_O kubuulirira_O ng_O 'okwo_O kubanga_O tetulaba_O nsonga_O yonna_O eyandituleetedde_O okukikola_O ._O "_O	lug
Yagambye nti okwongera okunoonyereza mu bya sayansi kwetaagisa era singa kisangibwa nti kyetaagisa okubaako ky 'okolawo , Ekitongole ky 'amawanga ga Bulaaya kirina okukikola .	Yagambye_O nti_O okwongera_O okunoonyereza_O mu_O bya_O sayansi_O kwetaagisa_O era_O singa_O kisangibwa_O nti_O kyetaagisa_O okubaako_O ky_O 'okolawo_O ,_O Ekitongole_B-ORG ky_I-ORG 'amawanga_I-ORG ga_I-ORG Bulaaya_I-ORG kirina_O okukikola_O ._O	lug
Yagambye nti ekiteeso ky 'omwezi oguwedde ekya EU Farm Commissioner Franz Fischler okuwera obwongo bw 'endiga , omusujja n 'omugongo okuva mu mmere y 'abantu n 'ebisolo kyali kikolwa eky 'obwegendereza okukuuma obulamu bw 'abantu .	Yagambye_O nti_O ekiteeso_O ky_O 'omwezi_O oguwedde_O ekya_O EU_B-ORG Farm_O Commissioner_O Franz_B-PER Fischler_I-PER okuwera_O obwongo_O bw_O 'endiga_O ,_O omusujja_O n_O 'omugongo_O okuva_O mu_O mmere_O y_O 'abantu_O n_O 'ebisolo_O kyali_O kikolwa_O eky_O 'obwegendereza_O okukuuma_O obulamu_O bw_O 'abantu_O ._O	lug
Minisita w 'ebyobulimi mu Spain Loyola de Palacio yasooka n 'alumiriza Fischler mu lukiiko lw 'abaminisita b 'ebyobulimi mu EU olw 'okuleetawo okweraliikirira okutaliimu nsonga ng 'akozesa " ebigambo eby 'obulabe . "	Minisita_O w_O 'ebyobulimi_O mu_O Spain_O Loyola_B-PER de_I-PER Palacio_I-PER yasooka_O n_O 'alumiriza_O Fischler_B-PER mu_O lukiiko_O lw_O 'abaminisita_O b_O 'ebyobulimi_O mu_O EU_B-ORG olw_O 'okuleetawo_O okweraliikirira_O okutaliimu_O nsonga_O ng_O 'akozesa_O "_O ebigambo_O eby_O 'obulabe_O ._O "_O	lug
. bye bye	._O bye_O bye_O	lug
Bufalansa ne Bungereza ze zokka ezaawagira amagezi ga Fischler .	Bufalansa_B-LOC ne_O Bungereza_B-LOC ze_O zokka_O ezaawagira_O amagezi_O ga_O Fischler_B-PER ._O	lug
Akakiiko ka EU ak 'ebyenjigiriza z 'ebisolo n 'ebyenjigiriza ebirala kajja kwekenneenya ensonga eno ku ntandikwa y 'omwezi ogujja era kaweeyo amagezi eri abakungu b 'ebisolo abakulu .	Akakiiko_O ka_O EU_B-ORG ak_O 'ebyenjigiriza_O z_O 'ebisolo_O n_O 'ebyenjigiriza_O ebirala_O kajja_O kwekenneenya_O ensonga_O eno_O ku_O ntandikwa_O y_O 'omwezi_O ogujja_O era_O kaweeyo_O amagezi_O eri_O abakungu_O b_O 'ebisolo_O abakulu_O ._O	lug
Embuzi zimaze ebbanga nga zimanyiddwa okuba n' obulwadde bwa scrapie , obulwadde obusaanyaawo obwongo obufaanana n' obwa BSE okusuubirwa okuba nga bwasaasaana ku nte okuyita mu mmere erimu ebisasiro by' ebisolo .	Embuzi_O zimaze_O ebbanga_O nga_O zimanyiddwa_O okuba_O n'_O obulwadde_O bwa_O scrapie_O ,_O obulwadde_O obusaanyaawo_O obwongo_O obufaanana_O n'_O obwa_O BSE_O okusuubirwa_O okuba_O nga_O bwasaasaana_O ku_O nte_O okuyita_O mu_O mmere_O erimu_O ebisasiro_O by'_O ebisolo_O ._O	lug
Abalimi b 'e Bungereza bagaanye ku Lwokuna nti waaliwo akabi konna ku bulamu bw 'abantu okuva mu ndiga zaabwe , naye ne balaga obweraliikirivu nti amagezi ga gavumenti ya Bugirimaani eri abaguzi okwewala endiga z 'e Bungereza gayinza okukosa abaguzi mu Bulaaya yonna .	Abalimi_O b_O 'e_O Bungereza_O bagaanye_O ku_O Lwokuna_O nti_O waaliwo_O akabi_O konna_O ku_O bulamu_O bw_O 'abantu_O okuva_O mu_O ndiga_O zaabwe_O ,_O naye_O ne_O balaga_O obweraliikirivu_O nti_O amagezi_O ga_O gavumenti_O ya_O Bugirimaani_O eri_O abaguzi_O okwewala_O endiga_O z_O 'e_O Bungereza_O gayinza_O okukosa_O abaguzi_O mu_O Bulaaya_B-LOC yonna_O ._O	lug
Bugirimaani yaleeta endiga 47,600 okuva mu Bungereza omwaka oguwedde , kumpi ekitundu kimu kya kubiri eky 'ebintu byonna bye yaleeta .	Bugirimaani_B-LOC yaleeta_O endiga_O 47,600_O okuva_O mu_O Bungereza_B-LOC omwaka_O oguwedde_O ,_O kumpi_O ekitundu_O kimu_O kya_O kubiri_O eky_O 'ebintu_O byonna_O bye_O yaleeta_O ._O	lug
Yaleeta ttani 4,275 ez 'ennyama y 'endiga okuva mu Bungereza , ebitundu 10 ku buli kikumi ku nnyama yonna eyateekebwanga mu nsi endala .	Yaleeta_O ttani_O 4,275_O ez_O 'ennyama_O y_O 'endiga_O okuva_O mu_O Bungereza_O ,_O ebitundu_O 10_O ku_O buli_O kikumi_O ku_O nnyama_O yonna_O eyateekebwanga_O mu_O nsi_O endala_O ._O	lug
Ebitundutundu by 'ennyimba za Hendrix bitundibwa kumpi doola 17,000 .	Ebitundutundu_O by_O 'ennyimba_O za_O Hendrix_B-PER bitundibwa_O kumpi_O doola_O 17,000_O ._O	lug
Eddaala erimu mu Florida lyasasula £ 10,925 ( $ 16,935 ) olw 'oluyimba " Ain 't no telling " , Hendrix lwe yateeka ku kiwandiiko ky 'omu wooteeri y 'e London mu 1966 .	Eddaala_O erimu_O mu_O Florida_B-LOC lyasasula_O £_O 10,925_O (_O $_O 16,935_O )_O olw_O 'oluyimba_O "_O Ain_O 't_O no_O telling_O "_O ,_O Hendrix_B-PER lwe_O yateeka_O ku_O kiwandiiko_O ky_O 'omu_O wooteeri_O y_O 'e_O London_B-LOC mu_O 1966_O ._O	lug
Ku nkomerero ya konsati mu Jjanwali 1967 mu kibuga Nottingham eky 'omu Bungereza yasuula olupapula lw 'amawulire mu bantu abaaliwo , gye lwatwalibwa omuwagizi .	Ku_O nkomerero_O ya_O konsati_O mu_O Jjanwali_O 1967_O mu_O kibuga_O Nottingham_B-LOC eky_O 'omu_O Bungereza_O yasuula_O olupapula_O lw_O 'amawulire_O mu_O bantu_O abaaliwo_O ,_O gye_O lwatwalibwa_O omuwagizi_O ._O	lug
Abaguzi era baagula ebintu ebirala 16 ebyateekebwa ku lukalala lwa Hendrix eyaliko muganzi we Kathy Etchingham , eyabeerako naye okuva 1966 okutuuka 1969 .	Abaguzi_O era_O baagula_O ebintu_O ebirala_O 16_O ebyateekebwa_O ku_O lukalala_O lwa_O Hendrix_B-PER eyaliko_O muganzi_O we_O Kathy_B-PER Etchingham_I-PER ,_O eyabeerako_O naye_O okuva_O 1966_O okutuuka_O 1969_O ._O	lug
