input	output	language
Umuvandimwe Peter Blackburn	Umuvandimwe_O Peter_B-PER Blackburn_I-PER	kin
BURUSIYANI 1996-08-22 icyemezo	BURUSIYANI_B-LOC 1996-08-22_O icyemezo_O	kin
Umuvugizi mukuru wa Komisiyo , Nikolaus van der Pas , mu kiganiro n 'abanyamakuru yagize ati : " Ntidushyigikiye inama nk' iyi kuko nta mpamvu n' imwe tubona yo kuyishyigikira . "	Umuvugizi_O mukuru_O wa_O Komisiyo_B-ORG ,_O Nikolaus_B-PER van_I-PER der_I-PER Pas_I-PER ,_O mu_O kiganiro_O n_O 'abanyamakuru_O yagize_O ati_O :_O "_O Ntidushyigikiye_O inama_O nk'_O iyi_O kuko_O nta_O mpamvu_O n'_O imwe_O tubona_O yo_O kuyishyigikira_O ._O "_O	kin
Yavuze ko hakenewe ubundi bushakashatsi bushingiye ku bumenyi bwa siyansi , kandi ko niba bigaragaye ko hakenewe ingamba , ko zigomba gufatwa n 'Umuryango w 'Ubumwe bw 'u Burayi .	Yavuze_O ko_O hakenewe_O ubundi_O bushakashatsi_O bushingiye_O ku_O bumenyi_O bwa_O siyansi_O ,_O kandi_O ko_O niba_O bigaragaye_O ko_O hakenewe_O ingamba_O ,_O ko_O zigomba_O gufatwa_O n_B-ORG 'Umuryango_I-ORG w_I-ORG 'Ubumwe_I-ORG bw_I-ORG 'u_I-ORG Burayi_I-ORG ._O	kin
Ni byiza .	Ni_O byiza_O ._O	kin
U Bufaransa n' u Bwongereza ni byo byonyine byashyigikiye igitekerezo cya Fischler .	U_B-LOC Bufaransa_I-LOC n'_O u_B-LOC Bwongereza_I-LOC ni_O byo_O byonyine_O byashyigikiye_O igitekerezo_O cya_O Fischler_B-PER ._O	kin
Mu ntangiriro z 'ukwezi gutaha , komite z' ubuvuzi n' ubuvuzi bw' amatungo z' Umuryango w' Ubumwe bw 'u Burayi zigiye kongera gusuzuma icyo kibazo kandi zigatanga inama ku bayobozi bakuru b' ubuvuzi bw' amatungo .	Mu_O ntangiriro_O z_O 'ukwezi_O gutaha_O ,_O komite_O z'_O ubuvuzi_O n'_O ubuvuzi_O bw'_O amatungo_O z'_O Umuryango_O w'_O Ubumwe_B-ORG bw_I-ORG 'u_I-ORG Burayi_I-ORG zigiye_O kongera_O gusuzuma_O icyo_O kibazo_O kandi_O zigatanga_O inama_O ku_O bayobozi_O bakuru_O b'_O ubuvuzi_O bw'_O amatungo_O ._O	kin
Kuva kera byari bizwi ko intama zishobora kwandura indwara ya scrapie , indwara ituma ubwonko bw' intama butakaza ubushobozi nk' uburwayi bwa BSE buterwa n' ibiryo birimo imyanda y' inyamaswa .	Kuva_O kera_O byari_O bizwi_O ko_O intama_O zishobora_O kwandura_O indwara_O ya_O scrapie_O ,_O indwara_O ituma_O ubwonko_O bw'_O intama_O butakaza_O ubushobozi_O nk'_O uburwayi_O bwa_O BSE_O buterwa_O n'_O ibiryo_O birimo_O imyanda_O y'_O inyamaswa_O ._O	kin
Ku wa kane , abahinzi bo mu Bwongereza bahakanye ko intama zabo ziteje akaga ku buzima bw' abantu , ariko bagaragaza impungenge ko inama leta y' u Budage iha abaguzi yo kwirinda intama zo mu Bwongereza ishobora kugira ingaruka ku bakiriya bo hirya no hino mu Burayi .	Ku_O wa_O kane_O ,_O abahinzi_O bo_O mu_O Bwongereza_O bahakanye_O ko_O intama_O zabo_O ziteje_O akaga_O ku_O buzima_O bw'_O abantu_O ,_O ariko_O bagaragaza_O impungenge_O ko_O inama_O leta_O y'_O u_O Budage_O iha_O abaguzi_O yo_O kwirinda_O intama_O zo_O mu_O Bwongereza_O ishobora_O kugira_O ingaruka_O ku_O bakiriya_O bo_O hirya_O no_O hino_O mu_O Burayi_B-LOC ._O	kin
John Lloyd Jones , umuyobozi w' ishyirahamwe ry' abahinzi bo mu gihugu cya Wales ( National Farmers 'Union , NFU ) yabwiye radiyo ya BBC ati " icyo tugomba kwitondera cyane ni ukuntu ibindi bihugu bizakurikiza urugero rw' u Budage .	John_B-PER Lloyd_I-PER Jones_I-PER ,_O umuyobozi_O w'_O ishyirahamwe_O ry'_O abahinzi_O bo_O mu_O gihugu_O cya_O Wales_O (_O National_B-ORG Farmers_I-ORG 'Union_I-ORG ,_O NFU_B-ORG )_O yabwiye_O radiyo_B-ORG ya_I-ORG BBC_I-ORG ati_O "_O icyo_O tugomba_O kwitondera_O cyane_O ni_O ukuntu_O ibindi_O bihugu_O bizakurikiza_O urugero_O rw'_O u_B-LOC Budage_I-LOC ._O	kin
