input	output	language
EU okwedo kwayo mar Jo - Jerman mar kwero rombe mag Ingresa .	EU_B-ORG okwedo_O kwayo_O mar_O Jo_O -_O Jerman_O mar_O kwero_O rombe_O mag_O Ingresa_O ._O	luo
Peter Blackburn	Peter_B-PER Blackburn_I-PER	luo
BRUSSELS 1996-08-22 weche moko	BRUSSELS_B-LOC 1996-08-22_O weche_O moko_O	luo
European Commission ne owacho chieng 'Tich Ang 'wen ni ne ok oyie gi paro ma Jerman ne ochiwo ne jonyiewo ni kik gicham nyarombo mar Ingresa nyaka josayans ng 'e kabe tuwo mar mad cow nyalo landore ne rombe .	European_B-ORG Commission_I-ORG ne_O owacho_O chieng_O 'Tich_O Ang_O 'wen_O ni_O ne_O ok_O oyie_O gi_O paro_O ma_O Jerman_O ne_O ochiwo_O ne_O jonyiewo_O ni_O kik_O gicham_O nyarombo_O mar_O Ingresa_O nyaka_O josayans_O ng_O 'e_O kabe_O tuwo_O mar_O mad_O cow_O nyalo_O landore_O ne_O rombe_O ._O	luo
Nowacho ni nonro momedore mag josayans ne dwarore kendo kapo ni ne oyud ni okang 'moro dwarore , ne onego otim kamano gi Riwruok mar Ulaya .	Nowacho_O ni_O nonro_O momedore_O mag_O josayans_O ne_O dwarore_O kendo_O kapo_O ni_O ne_O oyud_O ni_O okang_O 'moro_O dwarore_O ,_O ne_O onego_O otim_O kamano_O gi_O Riwruok_B-ORG mar_I-ORG Ulaya_I-ORG ._O	luo
Kata kamano , Fischler ne oyie ni mondo onon paro ma ne ochiwo bang 'ka komiti ma ochung 'ne weche thieth mag le e EU , ne openjo kabe timo kamano ne owinjore nikech mano ne nyalo hinyo ngima dhano mana matin .	Kata_O kamano_O ,_O Fischler_B-PER ne_O oyie_O ni_O mondo_O onon_O paro_O ma_O ne_O ochiwo_O bang_O 'ka_O komiti_O ma_O ochung_O 'ne_O weche_O thieth_O mag_O le_O e_O EU_B-ORG ,_O ne_O openjo_O kabe_O timo_O kamano_O ne_O owinjore_O nikech_O mano_O ne_O nyalo_O hinyo_O ngima_O dhano_O mana_O matin_O ._O	luo
Minista mar pur mar piny Spain , Loyola de Palacio , ne okwongo ohangone Fischler e romo mar jomisonari mag pur e pinje mag EU ni ne okelo luoro ma ok owinjore kokalo kuom " paro ma ok kare . "	Minista_O mar_O pur_O mar_O piny_O Spain_O ,_O Loyola_B-PER de_I-PER Palacio_I-PER ,_O ne_O okwongo_O ohangone_O Fischler_B-PER e_O romo_O mar_O jomisonari_O mag_O pur_O e_O pinje_O mag_O EU_B-ORG ni_O ne_O okelo_O luoro_O ma_O ok_O owinjore_O kokalo_O kuom_O "_O paro_O ma_O ok_O kare_O ._O "_O	luo
Mano ok nyal timore .	Mano_O ok_O nyal_O timore_O ._O	luo
Mana France kod Ingresa kende ema ne oriwo lwedo chenro mar Fischler .	Mana_O France_B-LOC kod_O Ingresa_B-LOC kende_O ema_O ne_O oriwo_O lwedo_O chenro_O mar_O Fischler_B-PER ._O	luo
Komiti mar EU mar thieth mar le kod komiti ma nono weche mopogore opogore onego onon wachno kendo e chak dwe mabiro kendo gichiw paro ne jotelo madongo mag thieth mar le .	Komiti_O mar_O EU_B-ORG mar_O thieth_O mar_O le_O kod_O komiti_O ma_O nono_O weche_O mopogore_O opogore_O onego_O onon_O wachno_O kendo_O e_O chak_O dwe_O mabiro_O kendo_O gichiw_O paro_O ne_O jotelo_O madongo_O mag_O thieth_O mar_O le_O ._O	luo
Kuom kinde malach ong 'ere ni rombe nigi tuwo mar scrapie , ma en tuwo ma ketho obwongo machal gi mar BSE ma iparo ni ne oter ne dhok kokalo kuom chiemo moting 'o yugi mag le .	Kuom_O kinde_O malach_O ong_O 'ere_O ni_O rombe_O nigi_O tuwo_O mar_O scrapie_O ,_O ma_O en_O tuwo_O ma_O ketho_O obwongo_O machal_O gi_O mar_O BSE_O ma_O iparo_O ni_O ne_O oter_O ne_O dhok_O kokalo_O kuom_O chiemo_O moting_O 'o_O yugi_O mag_O le_O ._O	luo
