premise	hypothesis	output	language
Ukax wali uñt'at chablis uka suma janq'u u uñañchäwiwa, ukampirus jumanakax suma muxsa uraqinakankir uva yapunakar sarapxasmaxa thakhit inti jalsu tuqiru.	Chablis janq 'u vinox janiw markachirinakatak utjkiti.	contradiction	ayr
Mancy Mintie ukan suma organizacionapax qullirinakaru, qullirinakaru, qullirinakaruw yatiqañ utanakapat qullqi churatayna, jan walt'at jakasirinakar yanapt 'añataki.	Mancy Mintie-x arxatirinak thaqhaski.	contradiction	ayr
"""Margaritaru apayatäñ muntati?"""	Marguerite-at jithiqtañ munäna.	contradiction	ayr
Mä qilqatax uñt 'ayiw kunjams alakipasiñanakax alakipasipkasp ukjax jilpach alakipasiñanakax standard &amp; amp;	Qullqi aljañax janiw walïkataynati.	contradiction	ayr
Ukawjan jakasirinakax jisk 'at jisk 'akamaw jilxattasipxi.	Kawkhantix jupanakax jakapki ukkhanxa janiw kuns yapuchapkiti.	contradiction	ayr
Kawkhantix 70 por ciento de trabajo de gao ukax Congreso ukan mayiwinakapat lurasiwayki 1996n maranxa, 95 por ciento ukhaw 1999n maranx lurasiwayi.	Congreso ukan mayiwinakax 55 por ciento de la carga de trabajo de gao ukankapxatayna 1996 marana.	contradiction	ayr
Jupax taqi ukanak...	Jupax janiw kuna qullqipas utjkiti.	contradiction	ayr
Ukar mantasinxa, ikiñ wayaqam aptanxäta.	Janiw ikiñ wayaqanak aptasksnati, janiw aptasksnati.	contradiction	ayr
Walja yatiyaw utanakat sipansa, nanakaw juk 'amp sum jakasipxta, kunalaykutix nanakan jakäwinakajax juk'a juk'a tukutawa.	Agencianakasan taripäwipax uraqpachanx wali jach 'awa.	contradiction	ayr
Medicina de emergencia uksan amuyun p'iqinchirinakapax jichhapach amuyunakap uñacht'ayapxi, jan walt'awinakax umañ utanakan utjatapa.	E.M.C. p 'iqinchirinakax yatipxiwa, machantañ tuqitxa jupanakaw suma yatxatatäpxi.	contradiction	ayr
Ukampis aka instituciones conservadoras -- The Washington Times, The Heritage Foundation -- ukanakax mä misión ideológica ukankapxiwa, janiw liberales ukanakax ukhamäpkiti -- Washington Post, Brookings Institution -- ukanakax janiw ukhamäpkiti.	""" The Times "" ukax wali liberal ukhamawa."	contradiction	ayr
Aka qhipa yatiyawinaka ukatxa yaqhip yatiyawinaka aka qhipa yatiyawinaka ukatxa yaqhip yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka ukatxa yaqhip yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka aka qhipa yatiyawinaka	Aka urunakanx janiw kuna exhumaciones ukanakax uñacht'ayatakiti, elites ukat historiadores ukanakax k'añaskunak jiwayawinakat imantasipkataynati.	contradiction	ayr
Yaqhip aychanakasti aka kipkarakiwa: kebap (q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir q'apkir	Corderox janiw kebap phayt 'añatakix askïkiti.	contradiction	ayr
Jïsa, uk yatiñax wali ch 'amawa.	Jïsa, uk sañax jasakiwa.	contradiction	ayr
