premise	hypothesis	output	language
Kóva ha 'e tenda oñemoherakuãva vino blanco chablis-pe guarã, pero ikatu oho viñedokuérape campo encantador gotyo autopista-gui.	Vino morotî chablis noîri disponible público-pe guarã.	contradiction	grn
Organización Mancy Mintie ome 'êva deuda escolar umi abogado ha umi mba 'apohára salud oñeme 'êva oservi haguã umi menos afortunado.	Mancy mintie oheka umi abogado oipysóva.	contradiction	grn
"""Peteî mba'e oguerahaseva'erâ margarita-pe?"""	Oipota oñemomombyry Marguerite-gui.	contradiction	grn
Peteî artículo omyesakã mba'éichapa mercado de valores ikatúva ojupi jepénte umi empresa estándar &amp; amp;	Mercado de valores opyta tapykuépe.	contradiction	grn
Haʼekuéra omongakuaa chupekuéra upépe haʼete ku omimbipáva.	Ñembyasy, oikohápe, ndikatúi omongakuaa mba 'eve.	contradiction	grn
Jepénte 70 por ciento trabajo de gao ojejapo Congreso ojerurégui 1996-pe, 95 por ciento 1999-pe.	Ko'ã mba'e Congreso ojeruréva ha'e 55 por ciento carga de trabajo de gao ary 1996 jave.	contradiction	grn
Ha'e oguereko ko'ã...	Ha 'e ndoguerekói mba 'eve.	contradiction	grn
Upévare ikatu reike upépe ha ejuhu nde pytagua.	Ndaikatúi rehupyty saco de dormir, nderehupytymo 'ãi.	contradiction	grn
Roguereko suerte hetave agencia-gui, ore tasa de desgaste ha 'égui extremadamente sa 'i.	Ore agencia orekovéva tasa oimeraêva agencia ko mundo-pe.	contradiction	grn
Ko'ã líder orekóva opinión medicina de emergencia ohechaukáva creencia ko'ágã orekóva problema alcohol oîva fuera de su práctica	Opavave umi omyakãva medicina emergencia oikuaa ha 'eha experto problema alcohol reheguápe.	contradiction	grn
Ha katu ko'ã institución conservadora -- The Washington Times, Fundación Heritage -- ha'e parte peteĩ misión ideológica-pe umi liberal-kuéra -- The Washington Post, institución Brookings -- ndaha'éiva.	The Times ha 'e peteî kuatiahaipyre liberal.	contradiction	grn
3 reclamo heta exhumación reciente ha propuesta oñeha'ãva ohechauka umi élite ha umi historiador oñondive omokañy añetegua asesinato ha asesinato rehe.	Ni peteî exhumación reciente ndorekói propósito ohechauka haguã umi élite ha umi historiador conspiración omokañýva verdad ko 'ã asesinato rehe.	contradiction	grn
Variedades más comunes son kebap (cubos de cordero roscado en una brocheta y asado sobre el carbón); dener kebap (literalmente rotatorio kebap peteĩ pila ovecha marinado, rollo ha so'o ro'o asado peteĩ asador vertical-pe, oñembyaíva umi capa exterior-icha); adana kebap (so'o ro'o picado oñembyaíva peteĩ brocheta ha asado jerére); y f? R? N Kebap (filete asado de cordero marinado en yog	Cordero ndojeporúi katuete kebap-pe.	contradiction	grn
Hákatu, hasy ja'e hag̃ua.	Hákatu, upéva ndahasýi jaʼe hag̃ua.	contradiction	grn
Ko 'ã técnica, ojeheróva ingeniería social, oaprovecha tendencia usuario-kuéra oîva cooperativo ha útil, ndaha 'éiva vigilado, cauteloso ha sospechoso, ojerurévo información.	Ko'ã usuario oñatende ha oñatendéva ojejerurévo información.	contradiction	grn
Ojesarekóva ovetã rokẽguio, opavave ojechauka peteî mancha sa 'ívaicha.	Upe táxi ojejoko.	contradiction	grn
Ojekuaa FAA orekóva exención umi norma federal de adquisición oipytyvõva delegación autoridades de adquisición nivel inferior-pe.	Ndaipóri delegación de adquisiciones, péva FAA noñemohendái.	contradiction	grn
Ndahasýi ojejuhu haguã tape, ko 'ã tape ohapykuehóva peteî patrón ha oimehápe señalización.	Ojuhúvo tape tape rupi hasýta umi tapicha ndoikuaáiva ko tenda.	contradiction	grn
Añetehápe, 30 millones de visitantes anuales oiporavóva opytávo.	Área, jepénte peteî tenda iporãva vacaciones-pe g̃uarã, ndaha'éi peteî tenda iporãva oiko hag̃ua.	contradiction	grn
Ojogua umi magnolia de acero-pe.	Ahecha Magnolias de acero ojapo peteî ary rupi, che mandu 'a porâ ramo.	contradiction	grn
Español-kuéra oñeha'ã jey 1658 jave Río Bueno ñorairõme ha ho'a hikuái; jepémo upéicha, kóva ndojapói Jamaica-pe apañuãi.	Español-kuéra ohupyty jey Jamaica 1658-pe, ogana rire batalla río bueno-pe.	contradiction	grn
Newsweek oheja avei Martha Stewart omombe'u mba'éichapa osẽ porâ marketing web-pe.	Ñeha'ã marketing web Martha Stewart-pe g̃uarã ha'e peteî fracaso espectacular.	contradiction	grn
Idealmente, umi corrección de diseño umi fallo-pe g̃uarã oñemyatyrõva'erã umi unidad de producción fabricación mboyve.	Ndaipóri mba 'e ojepy 'apýva oimeraê mba 'e oikotevêva oñemyatyrô porâ.	contradiction	grn
Ko'ã posible escasez de agua ndaha'éiva suficiente ohapejokóvo umi desarrollador-kuéra, jepénte, ha umi complejo hotelero ha decenas de bloques de apartamentos pyahu ojejuhúva playa es pujols, mitjorn, es cale ha calesahona-pe.	Ko'ã desarrollador-kuéra ojejoko heta jey ndaipórigui y.	contradiction	grn
Haimete oimeraẽ táva guasu Estados Unidos-pe ha mba'yrumýi jára oñe'ẽ sa'i inglés-pe	Pe mba'ykuaahára oñe'ẽ karaiñe'ẽme.	contradiction	grn
Ko'ãva ou ykua mombyrýgui yakō kadem-pe, he'i peteî karai orekóva peteî barba trenzada.	Pe tembiguái ruvicha ha 'eva 'ekue kuñakarai iñarandúva.	contradiction	grn
Rombyasyeténgo areko haguére akãnundu.	Che araka 'eve ndapytavýi.	contradiction	grn
Upéva ndahasyiete ojejapo hag̃ua.	Tuichaiterei hasy.	contradiction	grn
