premise	hypothesis	output	language
This triathlon kills Churchill , who wins the defeat-totalitarianism contest but flunks the liberation-and-justice contest .	Triathlon 's are easy and anyone can do it !	contradiction	en
The Federal Financial Management Improvement Act ( FFMIA ) of 1996 requires , among other things , that agencies implement and maintain financial management systems that substantially comply with federal financial management systems requirements .	Agencies aren 't required to maintain financial management systems by the Federal Financial Management Improvement Act ( FFMIA ) of 1996 .	contradiction	en
Nearby on Hope Road are Jamaica House , containing the offices of the Prime Minister ; Vale Royal , the Prime Minister 's official residence ; and King 's House , home of the Governor General .	nearby on Hope Road are Welsh homes and not Jamaican Homes .	contradiction	en
Obituaries recalled his career as a hard rock drummer ( he was better known as Cozy ) and did not mention the retired U.S. general who bears the same name .	He was a retired general as well as a drummer .	contradiction	en
that 's funny no i just um i have really gotten out of it i don 't do it quite as much as i used to um i guess because i i went back to school so i don 't have as much time	Even though I 'm in school again , I actually spend even more time on it now .	contradiction	en
if you could weed out those the people that have chronic accidents and test those you know that 's a start	Plans to test people should be abandoned .	contradiction	en
Elusive till the end , he was scheduled to lecture , two weeks later , on his life and work as a war photographer--with slides and patriotic music--at Carnegie Hall .	He was very excited to lecture .	contradiction	en
It has been called the nation 's most successful anti-poverty program , distributing over $ 30 billion of assistance to almost 19 million families .	The nation 's most successful anti-poverty program has distributed only $ 20 million of assistance .	contradiction	en
i i think the status quo seems to be working i don 't think um from talking to Jerry my friend that lived there that they don 't seem um upset about it or anything and	The status quo there is really off , and residents are really mad about it .	contradiction	en
of capital goods in the United States than in other developed countries .	No capital goods are in the United States .	contradiction	en
If you do not agree to abide by all the terms of this agreement , you must cease using and return or destroy all copies of Project Gutenberg-tm electronic works in your possession .	You may continue to possess and use copies of Project Gutenburg electronic materials , even if you don 't abide by the terms of this agreement .	contradiction	en
"And when an egg hatches , you don 't try to put it back together ! "" He didn 't look like a fanatic , Dave told himself ."	Dave had to admit to himself that he looked like a fanatic .	contradiction	en
notion of divine sanction for democratic values .	A notion that democratic values are pointless .	contradiction	en
So on second thought , $ 80 million is probably overpaying .	It is a bargain to pay $ 80 million .	contradiction	en
Above the piazza to the east , the Pincio gardens offer a magical view of the city , especially at sunset .	The gardens are blase , and don 't offer much to the experience of the city .	contradiction	en
so i don 't know i 'm looking for for a good year i guess we 're always looking for a good year	Everyone wants a bad year .	contradiction	en
Sinatra called Brando and told him he shouldn 't let himself go .	Brando kept himself in great physical condition his entire life .	contradiction	en
In addition , because of lower interest rates , it is facing a decline of about $ 100,000 in funds from interest collected on lawyers ' trust accounts .	No funds are safe from them .	contradiction	en
The policies include increased research and development funding , equipment standards , financial incentives , voluntary programs , and other regulatory initiatives .	The policies led to a defunding of all programs .	contradiction	en
hi Chris this is Carol	Hello Paula , this is Roberto .	contradiction	en
uh-huh right exactly yeah there there there are a couple movies that hit home like that most of the ones i always remember are the the older ones	Newer films have a greater impact on me because the price of admission is so high I feel like I 've got to commit the whole thing to memory just to get my money 's worth .	contradiction	en
Israeli art , and particularly modern art , is of a very high standard .	Israeli art has very low standards .	contradiction	en
No , wait , that 's what we knew yesterday about England , although it 's not far off .	What we knew about England yesterday is completely unrelated to our knowledge today ,	contradiction	en
Andrew Young , Maynard Jackson , and the mulatto elite dismissed Lewis and lined up behind Bond .	Andrew , Maynard , and the mulatto elite supported Lewis and stood behind him .	contradiction	en
"I 'd rather hush it up if I could . ' Mrs. Cavendish came in just then , so she didn 't say any more . "" 41 "" She still had the letter , or whatever it was , in her hand ? """	She continued speaking when Mrs. Cavendish came in .	contradiction	en
well that that 's the really neat thing i teach in the continuing education classes so i don 't uh i don 't have to have grade any grades no grade books so that 's great	I still have to have grade books when teaching my continuing education courses .	contradiction	en
Department of Housing and Urban Development , Legal Aid is helping thousands of low-income Marylanders living in properties where federal subsidies are about to run out .	No one is helping low-income Marylanders live in houses .	contradiction	en
Reliable official guides from the office of the Archaeological Survey of India offer their services free of charge .	The office of the Archaeological Survey of India charge high rates for their services .	contradiction	en
