,PER_cnt,PER_probs,LOC_cnt,LOC_probs,ORG_cnt,ORG_probs,O_cnt,O_probs
0,2,0.7896286249160767,3,0.8768881360689799,1,0.3492259383201599,32,0.9994302876293659
1,0,0.0,0,0.0,0,0.0,23,0.9998530615930972
2,2,0.9879462718963623,0,0.0,0,0.0,38,0.9998844312994104
3,2,0.9980313181877136,0,0.0,0,0.0,38,0.9933546718798185
4,2,0.6040845960378647,0,0.0,1,0.9956904053688049,21,0.9999039627256847
5,2,0.9964582920074463,0,0.0,0,0.0,29,0.9996446206651884
6,0,0.0,0,0.0,0,0.0,35,0.9984804596219744
7,0,0.0,0,0.0,0,0.0,12,0.9999145617087682
8,0,0.0,0,0.0,0,0.0,5,0.9960840225219727
9,2,0.9963608682155609,0,0.0,1,0.736794650554657,51,0.9993578429315605
10,5,0.9269950032234192,0,0.0,1,0.9799746870994568,43,0.9996642262436622
11,1,0.9480525851249695,0,0.0,1,0.9983276724815369,23,0.9983893917954486
12,0,0.0,0,0.0,0,0.0,29,0.9860486552633089
13,2,0.871408998966217,0,0.0,0,0.0,21,0.9998014001619249
14,5,0.9274561762809753,6,0.9707546432813009,3,0.992708683013916,35,0.9797899731567927
15,0,0.0,0,0.0,0,0.0,13,0.9953839274553152
16,0,0.0,0,0.0,0,0.0,28,0.999874255486897
17,0,0.0,1,0.45390257239341736,0,0.0,3,0.7614757021268209
18,0,0.0,3,0.6746273040771484,5,0.6480413258075715,36,0.9589605182409286
19,2,0.9965068399906158,0,0.0,0,0.0,11,0.9520595588467338
20,0,0.0,0,0.0,0,0.0,13,0.9991251413638775
21,3,0.980916162331899,0,0.0,2,0.965155839920044,19,0.9997259315691496
22,1,0.5932063460350037,0,0.0,0,0.0,24,0.9859892576932907
23,0,0.0,0,0.0,1,0.9958107471466064,18,0.9997604919804467
24,0,0.0,0,0.0,0,0.0,15,0.9998210430145263
25,0,0.0,0,0.0,0,0.0,18,0.9996615681383345
26,1,0.5108902454376221,1,0.661997377872467,1,0.684733510017395,18,0.9327834728691313
27,1,0.9881685376167297,3,0.7184026539325714,0,0.0,41,0.9994484447851414
28,0,0.0,0,0.0,1,0.9689388275146484,4,0.9990226030349731
29,0,0.0,0,0.0,0,0.0,7,0.990981672491346
30,0,0.0,1,0.9249778985977173,3,0.9964568217595419,24,0.9997796167929968
31,0,0.0,0,0.0,1,0.9923596978187561,9,0.9995883173412747
32,0,0.0,1,0.9316515326499939,0,0.0,13,0.9983494052520165
33,0,0.0,0,0.0,0,0.0,19,0.9999445300353201
34,3,0.47266186277071637,0,0.0,1,0.36205005645751953,31,0.9996552409664277
35,12,0.9480806042750677,6,0.7384529014428457,1,0.44724297523498535,19,0.9376736895034188
36,0,0.0,0,0.0,1,0.9954681396484375,17,0.9997917904573328
37,1,0.7585880160331726,0,0.0,1,0.9949083924293518,2,0.5439420342445374
38,1,0.4655441343784332,4,0.8430459052324295,0,0.0,58,0.9967013618041729
39,0,0.0,0,0.0,5,0.9952398777008057,39,0.9873456313059881
40,4,0.9638491421937943,1,0.8113610148429871,2,0.762455552816391,58,0.9961590623033458
41,0,0.0,1,0.9858788847923279,0,0.0,31,0.9942836069291637
42,0,0.0,1,0.8190383315086365,0,0.0,24,0.99973696966966
43,0,0.0,0,0.0,0,0.0,26,0.9997546489422138
44,4,0.9980731010437012,0,0.0,0,0.0,35,0.9990759662219456
45,0,0.0,1,0.8119277954101562,0,0.0,28,0.9975016606705529
46,5,0.8662866830825806,0,0.0,0,0.0,26,0.9997809391755325
47,0,0.0,2,0.6593579202890396,2,0.7567707002162933,20,0.9841109693050385
48,0,0.0,3,0.7095631758371989,0,0.0,23,0.9952523008636807
49,0,0.0,2,0.6150670796632767,0,0.0,26,0.9766231809671109
50,0,0.0,1,0.9780159592628479,0,0.0,13,0.9985570540794959
51,0,0.0,0,0.0,0,0.0,6,0.9591549833615621
52,0,0.0,1,0.4598408043384552,1,0.9939531683921814,43,0.9768713546353717
53,0,0.0,0,0.0,3,0.9067024191220602,38,0.9999209579668547
54,0,0.0,0,0.0,1,0.9890332221984863,45,0.9996123737759061
55,0,0.0,1,0.9748263359069824,1,0.9973049163818359,6,0.9858818451563517
56,0,0.0,0,0.0,0,0.0,8,0.9626204147934914
57,1,0.7338034510612488,1,0.9657298922538757,0,0.0,32,0.9921054448932409
58,0,0.0,4,0.916966900229454,0,0.0,25,0.9625704801082611
59,15,0.9981512824694315,0,0.0,0,0.0,13,0.9804381498923669
60,2,0.9994872212409973,1,0.9898896217346191,0,0.0,10,0.9979524135589599
61,0,0.0,0,0.0,0,0.0,17,0.9999128755401162
62,0,0.0,0,0.0,0,0.0,4,0.9985192865133286
