,PER_cnt,PER_probs,LOC_cnt,LOC_probs,ORG_cnt,ORG_probs,O_cnt,O_probs
0,0,0.0,0,0.0,0,0.0,5,0.9945477724075318
1,7,0.9687895519392831,0,0.0,0,0.0,2,0.9692502915859222
2,3,0.8669729630152384,0,0.0,0,0.0,13,0.9502507998393133
3,0,0.0,1,0.9608789682388306,0,0.0,39,0.9989086099160023
4,0,0.0,2,0.7800310254096985,0,0.0,22,0.9991139525716956
5,0,0.0,0,0.0,0,0.0,24,0.9980913499991099
6,0,0.0,0,0.0,0,0.0,9,0.9994010461701287
7,0,0.0,1,0.980923056602478,0,0.0,10,0.9994819700717926
8,6,0.9713640113671621,2,0.9861920773983002,0,0.0,30,0.9970311125119528
9,5,0.973797607421875,0,0.0,0,0.0,36,0.9995554851161109
10,0,0.0,0,0.0,0,0.0,7,0.9994694249970573
11,1,0.9923930168151855,0,0.0,0,0.0,47,0.9951114832086766
12,0,0.0,1,0.9732323884963989,0,0.0,26,0.998901000389686
13,0,0.0,0,0.0,1,0.9780496954917908,41,0.9933343951295062
14,6,0.8021994133790334,0,0.0,1,0.9758952260017395,4,0.9891235381364822
15,0,0.0,0,0.0,0,0.0,35,0.9964682527950832
16,0,0.0,0,0.0,0,0.0,2,0.9997727274894714
17,7,0.942426153591701,0,0.0,0,0.0,3,0.8156065146128336
18,0,0.0,1,0.9561268091201782,0,0.0,17,0.999032504418317
19,0,0.0,2,0.9967063367366791,0,0.0,20,0.9982230216264725
20,1,0.4905490279197693,0,0.0,0,0.0,36,0.9994284013907114
21,0,0.0,2,0.9853599071502686,0,0.0,45,0.9993694477611118
22,2,0.9680936932563782,0,0.0,0,0.0,29,0.9984410507925625
23,2,0.9526259303092957,0,0.0,4,0.9868555665016174,68,0.9965629752944497
24,0,0.0,2,0.9942278563976288,1,0.9938761591911316,54,0.9909539266868874
25,0,0.0,0,0.0,2,0.7823560535907745,24,0.9962096810340881
26,0,0.0,0,0.0,0,0.0,32,0.9996603410691023
27,0,0.0,0,0.0,0,0.0,21,0.9995726744333903
28,0,0.0,1,0.9803537726402283,0,0.0,18,0.9996259179380205
29,5,0.8353052616119385,0,0.0,0,0.0,2,0.9968015253543854
30,9,0.9634568492571512,0,0.0,0,0.0,24,0.995294950902462
31,0,0.0,1,0.9434369206428528,0,0.0,3,0.997093399365743
32,1,0.9552719593048096,3,0.8442147572835287,0,0.0,7,0.9879778964178902
33,5,0.9896221399307251,0,0.0,0,0.0,0,0.0
34,0,0.0,0,0.0,0,0.0,13,0.9996134455387409
35,3,0.8761389454205831,0,0.0,0,0.0,8,0.9766025468707085
36,0,0.0,1,0.9800118207931519,0,0.0,19,0.9987646121727792
37,0,0.0,0,0.0,0,0.0,25,0.9995023775100708
38,0,0.0,0,0.0,0,0.0,12,0.9996809860070547
39,0,0.0,0,0.0,0,0.0,5,0.9994312524795532
40,7,0.9802411368915013,0,0.0,0,0.0,2,0.9969046413898468
41,0,0.0,0,0.0,0,0.0,16,0.9997032843530178
42,0,0.0,1,0.8593802452087402,0,0.0,21,0.9995051423708597
43,0,0.0,0,0.0,0,0.0,19,0.9991175218632347
44,1,0.8529242277145386,0,0.0,0,0.0,15,0.9777545928955078
45,0,0.0,0,0.0,0,0.0,38,0.9988943103112673
46,2,0.9892781674861908,3,0.9865422050158182,0,0.0,37,0.998955712125108
47,4,0.9846312403678894,0,0.0,0,0.0,26,0.9994823840948251
48,2,0.9875035285949707,0,0.0,0,0.0,4,0.9968248009681702
49,2,0.9698005318641663,0,0.0,0,0.0,10,0.9689276218414307
50,1,0.9887194037437439,2,0.9435177147388458,0,0.0,38,0.9980726932224474
51,0,0.0,0,0.0,0,0.0,23,0.9996294249658999
52,4,0.9353389292955399,0,0.0,0,0.0,10,0.9966529130935669
