,PER_cnt,PER_probs,LOC_cnt,LOC_probs,ORG_cnt,ORG_probs,O_cnt,O_probs
0,0,0.0,0,0.0,9,0.965984132554796,20,0.9981145709753036
1,0,0.0,0,0.0,0,0.0,34,0.9991765074870166
2,0,0.0,0,0.0,0,0.0,11,0.9900872219692577
3,0,0.0,2,0.9623335599899292,0,0.0,21,0.9994213893300011
4,0,0.0,0,0.0,0,0.0,18,0.9995001488261752
5,0,0.0,0,0.0,4,0.9843907505273819,20,0.9978363513946533
6,0,0.0,0,0.0,3,0.9624372720718384,5,0.9996433615684509
7,0,0.0,1,0.9929197430610657,0,0.0,15,0.9991668542226155
8,0,0.0,0,0.0,0,0.0,8,0.9996195733547211
9,0,0.0,1,0.9694700241088867,0,0.0,27,0.9992864882504499
10,3,0.9742460250854492,1,0.9611022472381592,9,0.9674171408017477,29,0.9977681986216841
11,0,0.0,2,0.9846495687961578,3,0.9857249061266581,26,0.9993167496644534
12,1,0.9366275668144226,4,0.9837681651115417,0,0.0,27,0.9983269726788556
13,0,0.0,0,0.0,0,0.0,13,0.9995931616196265
14,0,0.0,2,0.8942988514900208,0,0.0,1,0.8949183225631714
15,0,0.0,0,0.0,0,0.0,6,0.9995409448941549
16,2,0.9901632964611053,1,0.9944080114364624,0,0.0,27,0.9947675069173177
17,0,0.0,1,0.9932581186294556,0,0.0,24,0.9982585062583288
18,0,0.0,0,0.0,0,0.0,21,0.995591694400424
19,0,0.0,0,0.0,0,0.0,19,0.9989072429506403
20,0,0.0,0,0.0,0,0.0,12,0.9988215068976084
21,0,0.0,0,0.0,0,0.0,18,0.9981148276064131
22,0,0.0,0,0.0,0,0.0,18,0.9966558284229703
23,0,0.0,1,0.995477020740509,0,0.0,34,0.9984059894786161
24,0,0.0,0,0.0,0,0.0,12,0.99921748538812
25,0,0.0,0,0.0,0,0.0,29,0.9987522466429348
26,0,0.0,1,0.9065058827400208,0,0.0,30,0.9976824601491292
27,0,0.0,3,0.9751118620236715,0,0.0,16,0.9996809549629688
28,1,0.9037840366363525,1,0.9910802245140076,1,0.9740987420082092,7,0.9992490836552211
29,4,0.9895084798336029,2,0.7124208509922028,3,0.7937454382578532,30,0.9974909404913584
30,0,0.0,1,0.9933474659919739,0,0.0,19,0.9991495577912581
31,0,0.0,0,0.0,0,0.0,28,0.999040710074561
32,0,0.0,1,0.9874562621116638,0,0.0,7,0.9992944257599967
33,3,0.9559553464253744,1,0.980162501335144,3,0.9637633959452311,20,0.9992946952581405
34,0,0.0,0,0.0,0,0.0,23,0.9996130310970804
35,0,0.0,0,0.0,0,0.0,10,0.9989095449447631
36,0,0.0,0,0.0,0,0.0,21,0.9993284259523664
37,0,0.0,0,0.0,0,0.0,9,0.9976563851038615
38,0,0.0,1,0.9898541569709778,0,0.0,12,0.9980377405881882
39,0,0.0,4,0.9845256805419922,0,0.0,19,0.9993302131953993
40,0,0.0,1,0.9969346523284912,0,0.0,17,0.9992187969824847
41,2,0.9902075529098511,2,0.9930766224861145,0,0.0,33,0.9985502470623363
42,0,0.0,0,0.0,0,0.0,14,0.998642099755151
43,0,0.0,0,0.0,0,0.0,14,0.9995350411960057
44,0,0.0,0,0.0,0,0.0,38,0.9995936939590856
45,0,0.0,1,0.9866818189620972,4,0.9953086525201797,17,0.999255054137286
46,4,0.9951570481061935,0,0.0,0,0.0,5,0.9995084404945374
47,0,0.0,0,0.0,0,0.0,15,0.9994440038998922
48,0,0.0,0,0.0,0,0.0,14,0.9989248258726937
49,0,0.0,0,0.0,2,0.9254400432109833,25,0.998848271369934
50,1,0.8232280015945435,0,0.0,0,0.0,2,0.9800986647605896
51,2,0.9972136914730072,0,0.0,0,0.0,2,0.9996988475322723
52,3,0.9744623303413391,0,0.0,2,0.9582708775997162,8,0.9945303127169609
53,0,0.0,3,0.9609653552373251,1,0.9931632280349731,37,0.9967995769268757
54,0,0.0,0,0.0,2,0.9762724936008453,14,0.9985842364174979
55,2,0.8441888391971588,0,0.0,0,0.0,13,0.9991302948731643
56,0,0.0,0,0.0,0,0.0,30,0.9994627555211385
57,0,0.0,1,0.9846222996711731,1,0.9949821829795837,16,0.9986257329583168
58,0,0.0,0,0.0,3,0.9871912797292074,16,0.9994242303073406
59,0,0.0,2,0.9820060133934021,1,0.9938733577728271,13,0.9988843523539029
60,0,0.0,0,0.0,1,0.8505878448486328,32,0.9907429106533527
61,0,0.0,0,0.0,0,0.0,13,0.9994246226090652
62,0,0.0,2,0.9808026552200317,0,0.0,10,0.9982908010482788
63,0,0.0,2,0.9079606235027313,0,0.0,20,0.9985855996608735
64,0,0.0,0,0.0,0,0.0,9,0.9983817405170865
65,1,0.9735631942749023,0,0.0,0,0.0,12,0.9994354049364725
66,0,0.0,0,0.0,3,0.9842356244723002,23,0.9994452103324558
67,0,0.0,1,0.9898613691329956,2,0.9861975610256195,29,0.9987292351393864
68,0,0.0,1,0.9913163185119629,0,0.0,35,0.9990223526954651
69,0,0.0,1,0.9875636100769043,0,0.0,17,0.9984618179938373
70,2,0.799076497554779,2,0.9905314445495605,0,0.0,31,0.9977246599812661
71,0,0.0,0,0.0,0,0.0,23,0.9995900029721467
72,0,0.0,0,0.0,0,0.0,11,0.9967139417474921
73,0,0.0,0,0.0,0,0.0,9,0.9996111459202237
74,0,0.0,0,0.0,0,0.0,6,0.9994453489780426
75,3,0.967827320098877,1,0.992172122001648,0,0.0,27,0.9992147617869906
76,0,0.0,0,0.0,0,0.0,23,0.9994480272997981
77,0,0.0,1,0.9948692321777344,0,0.0,28,0.9992562809160778
78,3,0.9778401454289755,0,0.0,2,0.9447263777256012,38,0.9989458385266756
79,0,0.0,0,0.0,0,0.0,16,0.9995098449289799
80,1,0.9705124497413635,4,0.9899828433990479,0,0.0,23,0.996758344380752
81,0,0.0,0,0.0,0,0.0,30,0.9992196838061015
82,0,0.0,1,0.9858909845352173,0,0.0,42,0.9979739189147949
83,2,0.9914154708385468,0,0.0,1,0.9747883081436157,25,0.9995021653175354
84,0,0.0,1,0.985980212688446,0,0.0,17,0.9994277883978451
85,0,0.0,0,0.0,0,0.0,14,0.9992084503173828
86,3,0.9395859241485596,1,0.988756000995636,0,0.0,40,0.9988759472966194
87,0,0.0,1,0.9950706958770752,0,0.0,8,0.9988293126225471
88,0,0.0,0,0.0,0,0.0,23,0.999440602634264
89,0,0.0,0,0.0,2,0.9850831925868988,9,0.9989062481456332
90,1,0.9545734524726868,0,0.0,0,0.0,20,0.9981533348560333
91,0,0.0,0,0.0,0,0.0,17,0.9979575171190149
92,0,0.0,0,0.0,0,0.0,32,0.9993886295706034
93,0,0.0,0,0.0,0,0.0,28,0.9995942562818527
94,0,0.0,1,0.9941155910491943,0,0.0,27,0.9995306818573563
95,3,0.9922335346539816,0,0.0,1,0.9586299061775208,10,0.9993944823741913
96,0,0.0,3,0.993481457233429,0,0.0,45,0.9977346711688572
97,0,0.0,1,0.9964144229888916,0,0.0,27,0.9991064314489011
98,1,0.9754424691200256,0,0.0,0,0.0,20,0.9985316872596741
99,0,0.0,2,0.9866180717945099,1,0.9684514999389648,57,0.9959460841981989
