,PER_cnt,PER_probs,LOC_cnt,LOC_probs,ORG_cnt,ORG_probs,O_cnt,O_probs
0,2,0.9872396290302277,2,0.9936909675598145,0,0.0,17,0.9986731620395884
1,1,0.9764428734779358,0,0.0,1,0.9831556081771851,17,0.9993528793839848
2,0,0.0,3,0.9911972482999166,0,0.0,33,0.998667937336546
3,0,0.0,0,0.0,0,0.0,24,0.9994539519151052
4,3,0.9811330437660217,1,0.9808381199836731,0,0.0,23,0.9954141559808151
5,0,0.0,0,0.0,0,0.0,17,0.998320716268876
6,0,0.0,0,0.0,0,0.0,4,0.999531701207161
7,2,0.9943085610866547,0,0.0,0,0.0,8,0.99933310598135
8,4,0.9915639162063599,2,0.6806848496198654,0,0.0,7,0.9796562705721173
9,0,0.0,0,0.0,1,0.9923924207687378,19,0.9990054023893256
10,0,0.0,1,0.9647058248519897,0,0.0,30,0.9986388027668
11,0,0.0,0,0.0,1,0.9463233947753906,36,0.9985548837317361
12,0,0.0,0,0.0,0,0.0,14,0.9964269527367183
13,0,0.0,0,0.0,2,0.9269611835479736,26,0.9983270580951984
14,2,0.8788879811763763,0,0.0,4,0.9742375463247299,23,0.9980485620705978
15,0,0.0,2,0.7395373582839966,0,0.0,48,0.9972217368582884
16,0,0.0,0,0.0,2,0.887202799320221,9,0.9810693595144484
17,0,0.0,0,0.0,1,0.9736730456352234,11,0.998504178090529
18,3,0.9770064155260721,0,0.0,0,0.0,19,0.9986811029283624
19,0,0.0,0,0.0,0,0.0,27,0.9994332900753727
20,2,0.9740709960460663,1,0.9836195111274719,1,0.9727060198783875,22,0.9971000145782124
21,0,0.0,0,0.0,0,0.0,7,0.9994228226797921
22,2,0.9930070042610168,0,0.0,6,0.9853057265281677,40,0.9985864296555519
23,1,0.9624322652816772,0,0.0,0,0.0,11,0.9971592968160455
24,1,0.9712004661560059,0,0.0,2,0.9748993515968323,21,0.996567291872842
25,0,0.0,0,0.0,0,0.0,7,0.9986546550478254
26,3,0.9710292220115662,0,0.0,0,0.0,19,0.993587286848771
27,0,0.0,0,0.0,0,0.0,27,0.9991876902403655
28,4,0.9919857680797577,1,0.9917535781860352,0,0.0,40,0.9981950595974922
29,0,0.0,3,0.9876673022905985,0,0.0,27,0.9982431288118716
30,2,0.9857279062271118,1,0.9944196343421936,0,0.0,11,0.9988900639794089
31,0,0.0,1,0.9812745451927185,0,0.0,19,0.9968247350893522
32,1,0.9166334867477417,1,0.9776684045791626,0,0.0,21,0.996970398085458
33,0,0.0,1,0.9889266490936279,7,0.9881173201969692,18,0.9969482951694064
34,3,0.9932193557421366,0,0.0,0,0.0,31,0.9989492527900203
35,0,0.0,2,0.9915576279163361,0,0.0,27,0.9979296746077361
36,0,0.0,0,0.0,0,0.0,24,0.9989693661530813
37,0,0.0,1,0.988784909248352,0,0.0,20,0.9987584561109543
38,0,0.0,0,0.0,1,0.9749007821083069,21,0.999109943707784
39,0,0.0,2,0.9889655113220215,0,0.0,13,0.9981686702141395
40,0,0.0,1,0.990507960319519,2,0.9752638936042786,11,0.9980202208865773
41,3,0.9778031706809998,0,0.0,1,0.9318957924842834,45,0.994204224480523
42,0,0.0,0,0.0,0,0.0,24,0.9989138344923655
43,0,0.0,0,0.0,0,0.0,38,0.9978919954676377
44,2,0.9924360811710358,0,0.0,0,0.0,45,0.997798142168257
45,0,0.0,0,0.0,0,0.0,20,0.9984316408634186
46,2,0.9835281372070312,1,0.9534450769424438,0,0.0,38,0.9857083527665389
47,0,0.0,0,0.0,0,0.0,25,0.9983805632591247
48,4,0.9877676218748093,0,0.0,0,0.0,6,0.986592024564743
49,3,0.9786386489868164,0,0.0,0,0.0,27,0.9962592411924291
50,0,0.0,3,0.9267012675603231,3,0.9706570506095886,24,0.9988293225566546
51,3,0.9718145132064819,0,0.0,3,0.9786548813184103,26,0.9984645843505859
52,0,0.0,1,0.9797096252441406,0,0.0,31,0.9986400008201599
53,0,0.0,0,0.0,0,0.0,25,0.9990986514091492
54,2,0.9904864728450775,0,0.0,0,0.0,10,0.9988711953163147
55,3,0.9738184213638306,0,0.0,0,0.0,17,0.963525603799259
56,0,0.0,0,0.0,0,0.0,12,0.999010389049848
57,0,0.0,0,0.0,0,0.0,39,0.9939133051114205
58,0,0.0,1,0.845053493976593,3,0.8514323631922404,49,0.997140317547078
59,2,0.9911426305770874,0,0.0,0,0.0,39,0.9987439864721054
60,8,0.9946494996547699,0,0.0,0,0.0,27,0.998063548847481
61,0,0.0,0,0.0,1,0.8117947578430176,9,0.9969797001944648
62,0,0.0,1,0.9822962880134583,0,0.0,10,0.9987220883369445
63,0,0.0,0,0.0,0,0.0,9,0.9990077945921156
64,0,0.0,0,0.0,0,0.0,16,0.9992687404155731
65,0,0.0,0,0.0,0,0.0,13,0.9993129601845374
66,1,0.936725914478302,0,0.0,8,0.981932133436203,24,0.9987351348002752
67,4,0.990021601319313,1,0.9931279420852661,0,0.0,5,0.998267924785614
68,0,0.0,0,0.0,0,0.0,11,0.999046423218467
69,2,0.9879551827907562,0,0.0,0,0.0,33,0.99845279527433
70,0,0.0,0,0.0,3,0.9668252865473429,35,0.9986483369554792
71,0,0.0,0,0.0,0,0.0,22,0.9988518140532754
72,2,0.993541032075882,1,0.9890286922454834,0,0.0,38,0.9981368999732169
73,0,0.0,0,0.0,0,0.0,31,0.9985820324190201
74,0,0.0,1,0.9937777519226074,0,0.0,23,0.9988517450249713
75,0,0.0,2,0.9839968383312225,0,0.0,8,0.9993365928530693
76,2,0.8640163540840149,3,0.9922348856925964,0,0.0,38,0.9979905219454515
77,0,0.0,0,0.0,0,0.0,39,0.999317270058852
78,0,0.0,0,0.0,1,0.979653000831604,35,0.9775312849453517
79,2,0.891003429889679,0,0.0,0,0.0,13,0.9962244308911837
80,0,0.0,0,0.0,0,0.0,7,0.9987617816243853
81,0,0.0,0,0.0,0,0.0,37,0.9983402619490752
82,0,0.0,1,0.9839786887168884,0,0.0,9,0.99838254849116
83,1,0.9693124294281006,0,0.0,0,0.0,6,0.9971426328023275
84,0,0.0,2,0.9469161629676819,1,0.9720633029937744,33,0.9971216862851923
85,0,0.0,1,0.9940922856330872,0,0.0,18,0.9975378579563565
86,2,0.9945100247859955,2,0.9686271250247955,1,0.9346182346343994,18,0.9931715859307183
87,1,0.9541171193122864,0,0.0,0,0.0,13,0.9962630867958069
88,0,0.0,4,0.8645552694797516,0,0.0,7,0.9984180501529148
89,0,0.0,0,0.0,0,0.0,44,0.998230056329207
90,1,0.9744788408279419,0,0.0,3,0.9830019275347391,13,0.9992199356739337
91,1,0.979935348033905,0,0.0,0,0.0,16,0.9983019232749939
92,0,0.0,0,0.0,0,0.0,15,0.9987497488657634
93,0,0.0,0,0.0,2,0.9788027107715607,13,0.9992893750850971
94,1,0.5429084897041321,0,0.0,0,0.0,25,0.999274137020111
95,1,0.7957751750946045,0,0.0,0,0.0,8,0.9983250722289085
96,0,0.0,0,0.0,0,0.0,14,0.998150497674942
97,4,0.9926521331071854,2,0.9939412772655487,0,0.0,33,0.9985286178010883
98,0,0.0,0,0.0,0,0.0,11,0.9985965869643472
99,0,0.0,0,0.0,0,0.0,13,0.999408850303063
